[Sun Aug 29 14:06:40 2010] Sun Aug 29 14:06:40 2010


[Sun Aug 29 14:07:00 2010] |AVL1|UNIT1A|-111685280|33327890|0870|0870|053000|053000|||||75564000|0|2|1000|2|20||
[Sun Aug 29 14:07:00 2010] |AVL1|UNIT1B|-109859300|35015400|2330|2330|080000|080000|||||76030000|2|2|1000|2|20||
[Sun Aug 29 14:07:00 2010] |AVL1|UNIT1C|-111858020|33287410|2700|2700|073000|073000|||||76029000|0|2|1000|2|20||
[Sun Aug 29 14:07:00 2010] |AVL1|1C|-110808480|32618380|1810|1810|000000|000000|||||76029000|0|2|1000|4|20||
[Sun Aug 29 14:07:00 2010] |AVL1|UNIT1A|-112074730|33392300|2700|2700|000000|000000|||||76028000|0|2|1000|2|20||
[Sun Aug 29 14:07:00 2010] |AVL1|UNIT1B|-112012390|33576050|2650|2650|000000|000000|||||76030000|2|2|1000|4|20||
[Sun Aug 29 14:07:00 2010] |AVL1|UNIT1C|-112248120|33606430|0480|0480|000000|000000|||||76029000|0|2|1000|5|20||
[Sun Aug 29 14:07:00 2010] |AVL1|1C|-112074730|33392300|2700|2700|000000|000000|||||76029000|0|2|1000|2|20||
[Sun Aug 29 14:07:01 2010] |AVL1|UNIT1A|-112248120|33606430|0480|0480|000000|000000|||||76030000|0|2|1000|5|20||
[Sun Aug 29 14:07:01 2010] |AVL1|UNIT1B|-111858380|33287410|2700|2700|073000|073000|||||76030000|0|2|1000|2|20||
[Sun Aug 29 14:07:01 2010] |AVL1|UNIT1C|-111643700|33347750|3590|3590|070000|070000|||||76030000|0|2|1000|2|20||
[Sun Aug 29 14:07:02 2010] |AVL1|UNIT1A|-112117770|33713770|1700|1700|070000|070000|||||76031000|0|2|1000|3|20||
[Sun Aug 29 14:07:02 2010] |AVL1|UNIT1B|-111890300|33432250|0720|0720|044000|044000|||||76031000|0|2|1000|3|20||
[Sun Aug 29 14:07:02 2010] |AVL1|UNIT1C|-111643700|33348050|3590|3590|072000|072000|||||76031000|0|2|1000|2|20||
[Sun Aug 29 14:07:03 2010] |AVL1|1C|-111501900|36948600|2380|2380|001000|001000|||||76033000|2|2|1000|4|20||
[Sun Aug 29 14:07:03 2010] |AVL1|UNIT1A|-111643720|33348340|3600|3600|073000|073000|||||76032000|0|2|1000|2|20||
