17, 3, 21, 25, 18, 35
38, 14, 34, 44, 27, 1
10, 30, 44, 36, 15, 41
31, 24, 17, 36, 42, 39
3, 6, 4, 36, 40, 45
13, 36, 44, 21, 16, 34
16, 27, 24, 8, 5, 29
31, 1, 41, 32, 44, 13
18, 34, 10, 43, 38, 30
20, 22, 4, 2, 1, 38
26, 1, 30, 36, 10, 17
9, 8, 24, 41, 38, 22
37, 6, 5, 30, 17, 35
32, 31, 21, 25, 44, 41
23, 22, 17, 45, 6, 32
23, 6, 33, 26, 12, 3
2, 41, 25, 15, 17, 32
34, 14, 28, 35, 9, 6
28, 24, 37, 14, 21, 34
42, 22, 37, 38, 23, 36
15, 29, 30, 44, 20, 41
18, 31, 26, 28, 33, 25
16, 27, 21, 12, 31, 34
44, 21, 29, 33, 32, 8
29, 18, 31, 21, 13, 14
26, 38, 7, 3, 40, 25
14, 13, 1, 15, 38, 32
31, 37, 7, 45, 13, 24
42, 21, 38, 35, 39, 4
40, 34, 2, 19, 14, 8
3, 39, 28, 33, 36, 7
31, 40, 42, 25, 30, 41
30, 6, 1, 13, 5, 19
22, 35, 6, 39, 10, 18
43, 19, 16, 10, 11, 15
15, 38, 4, 25, 5, 18
35, 33, 9, 4, 37, 15
42, 29, 15, 5, 24, 38
38, 10, 35, 21, 6, 11
22, 15, 27, 40, 36, 8
25, 39, 12, 30, 24, 31
41, 27, 12, 34, 43, 16
45, 23, 3, 20, 5, 27
3, 27, 39, 23, 16, 28
32, 28, 20, 21, 41, 5
10, 17, 6, 25, 29, 31
35, 16, 24, 8, 43, 34
45, 31, 16, 11, 6, 7
30, 11, 3, 35, 32, 40
21, 43, 11, 31, 4, 14
6, 37, 12, 26, 22, 9
19, 42, 10, 33, 11, 14
26, 35, 21, 23, 18, 13
6, 3, 12, 28, 26, 33
9, 44, 10, 4, 29, 42
19, 12, 34, 28, 7, 30
10, 20, 43, 3, 16, 35
26, 3, 4, 36, 31, 6
23, 14, 11, 3, 31, 19
29, 7, 24, 28, 6, 40
4, 12, 22, 36, 14, 42
30, 17, 23, 6, 42, 19
16, 19, 12, 41, 14, 43
40, 23, 28, 44, 38, 34
38, 36, 24, 32, 42, 40
15, 43, 30, 22, 13, 11
37, 23, 8, 41, 19, 10
37, 26, 19, 11, 27, 12
32, 45, 39, 17, 44, 33
13, 40, 19, 11, 15, 16
15, 3, 25, 10, 1, 6
20, 33, 28, 30, 14, 44
24, 27, 23, 44, 5, 19
7, 17, 15, 4, 22, 41
4, 22, 14, 13, 10, 21
14, 18, 21, 8, 1, 3
15, 2, 20, 16, 26, 30
14, 25, 36, 31, 41, 11
10, 22, 28, 13, 26, 43
25, 22, 42, 24, 35, 3
15, 6, 19, 18, 24, 29
25, 40, 5, 11, 35, 36
41, 12, 37, 35, 22, 36
6, 33, 22, 28, 32, 25
19, 2, 36, 27, 13, 35
11, 39, 20, 27, 28, 38
22, 45, 13, 5, 27, 19
8, 7, 44, 41, 31, 18
43, 7, 23, 21, 12, 31
38, 35, 21, 39, 13, 22
28, 26, 43, 41, 8, 19
30, 17, 23, 13, 6, 34
42, 16, 40, 34, 44, 9
22, 45, 3, 35, 41, 29
29, 27, 9, 45, 14, 18
16, 27, 13, 10, 8, 3
20, 26, 34, 40, 30, 5
8, 33, 39, 43, 30, 14
24, 44, 40, 22, 32, 16
7, 31, 35, 6, 41, 18
21, 17, 37, 31, 13, 36
2, 32, 28, 40, 18, 31
37, 18, 42, 1, 43, 30
9, 16, 37, 44, 18, 11
7, 23, 18, 34, 35, 29
3, 2, 39, 24, 31, 12
4, 6, 20, 41, 21, 5
5, 45, 44, 14, 2, 1
18, 13, 30, 34, 42, 32
20, 12, 24, 29, 6, 40
38, 5, 33, 24, 12, 30
41, 19, 37, 44, 6, 40
43, 10, 15, 6, 26, 32
29, 25, 1, 17, 21, 33
22, 10, 23, 42, 5, 7
16, 5, 10, 34, 43, 23
7, 6, 21, 45, 28, 25
2, 14, 44, 21, 29, 27
41, 12, 25, 44, 2, 7
10, 19, 38, 43, 30, 3
11, 12, 19, 40, 22, 34
28, 32, 1, 36, 2, 43
30, 20, 12, 28, 15, 24
4, 17, 19, 22, 26, 20
